mean,max,min,std,labels
12.04241553192814,22.348408719943976,0.900386348557135,6.490922952943998,4
12.1189407049846,23.599974264760363,2.2003923599370654,6.5412815686361885,4
11.9257830041494,22.913591161646053,2.5386151214941632,6.112916500696659,4
12.223637623328695,24.926281962299814,0.8205058214103028,7.07759734932798,4
12.247090969504901,25.51287923319307,1.6623521292544932,6.658839212644674,4
10.879274171390755,24.588843456872734,2.4243453625433014,4.9991312708789595,1
10.627317106467459,24.894278105570557,1.4407984387216553,5.201794801565797,1
10.695623189196988,23.769290474584672,1.1092015235853219,4.894990274340264,1
10.980390547676903,24.57028415999402,1.773419481110253,4.902490713222008,1
10.338141248037864,24.763282967885246,2.6039097910471574,5.001318689873104,1
10.738563841674825,24.38995483419058,2.726350073652877,4.8843638992715865,1
9.861840746659032,16.848772080094776,4.085059881843206,2.850410918198227,2
9.92295544986965,17.832026198636008,4.086581013689947,3.1669433792333757,2
9.876764004245853,17.54017857139536,3.9319893885283745,3.4005728093540726,2
9.874503513239539,16.719114428922108,3.8659720053813063,2.9545992933948155,2
10.055827726812122,17.59020376608384,3.0150232961054613,3.544571450145065,2
9.563468319837455,16.81036780473117,3.7356519679684133,2.7496140225039514,2
9.239307079956955,17.53629252783211,3.9916218720042798,2.2862786915306343,3
9.798879870905473,17.27753277520777,3.0667264668634484,3.487933898517341,3
9.879282572118536,19.32742687644253,2.717626397924076,3.8816310190833034,3
9.341529138716655,18.639977360898783,2.954705143510317,3.5145902517466783,3
9.932643031066677,18.86714978625921,3.2510146666186577,3.6669744626063143,3
9.808431296754701,19.866419888316926,3.85609819772243,3.7433306922219414,3
9.811538348702015,17.559217796613304,3.1434983688748135,3.3077923166806507,2
9.459661340538986,16.33200711512541,3.022244507427529,3.213612105997292,2
9.996033551260041,17.569473635025577,3.6365564168807887,3.1681679496397606,2
9.586593260553004,18.075859161839727,2.82099060372838,3.2460095357123695,2
9.757622700124884,18.032918044492952,2.9551760651922434,3.556776360054284,2
