activity,timestamp,x-axis,y-axis,z-axis
Idle,17/9/2020 16:02:19.053,-0.458969,-0.113968,9.901703
Idle,17/9/2020 16:02:19.053,-0.461365,-0.117569,9.908875
Idle,17/9/2020 16:02:19.053,-0.454178,-0.106796,9.905289
Idle,17/9/2020 16:02:19.053,-0.46376,-0.102005,9.895706
Idle,17/9/2020 16:02:19.053,-0.456573,-0.107986,9.913666
Idle,17/9/2020 16:02:19.054,-0.450592,-0.102005,9.902893
Idle,17/9/2020 16:02:19.054,-0.452988,-0.107986,9.913666
Idle,17/9/2020 16:02:19.054,-0.460159,-0.111572,9.899307
Idle,17/9/2020 16:02:19.054,-0.451782,-0.119965,9.917252
Idle,17/9/2020 16:02:19.054,-0.458969,-0.106796,9.89093
Idle,17/9/2020 16:02:19.054,-0.464951,-0.106796,9.898102
Idle,17/9/2020 16:02:19.054,-0.458969,-0.100815,9.906494
Idle,17/9/2020 16:02:19.054,-0.448196,-0.107986,9.902893
Idle,17/9/2020 16:02:22.688,-0.455383,-0.116364,9.917252
Idle,17/9/2020 16:02:22.688,-0.457779,-0.110382,9.912476
Idle,17/9/2020 16:02:22.688,-0.469742,-0.113968,9.889725
Idle,17/9/2020 16:02:22.688,-0.454178,-0.104401,9.902893
Idle,17/9/2020 16:02:22.688,-0.461365,-0.121155,9.902893
Idle,17/9/2020 16:02:22.688,-0.455383,-0.117569,9.917267
Idle,17/9/2020 16:02:22.688,-0.470947,-0.117569,9.896912
Idle,17/9/2020 16:02:22.688,-0.466156,-0.116364,9.907684
Idle,17/9/2020 16:02:22.688,-0.466156,-0.112778,9.902893
Idle,17/9/2020 16:02:22.688,-0.451782,-0.115173,9.906494
Idle,17/9/2020 16:02:22.688,-0.458969,-0.109177,9.89212
Idle,17/9/2020 16:02:22.688,-0.457779,-0.110382,9.916061
Idle,17/9/2020 16:02:22.688,-0.444595,-0.112778,9.907684
Idle,17/9/2020 16:02:22.688,-0.462555,-0.109192,9.913666
Idle,17/9/2020 16:02:22.688,-0.456573,-0.109192,9.906494
Idle,17/9/2020 16:02:22.688,-0.457779,-0.115173,9.906494
Idle,17/9/2020 16:02:22.688,-0.451782,-0.110382,9.906494
Idle,17/9/2020 16:02:22.688,-0.449387,-0.116364,9.919647
Idle,17/9/2020 16:02:22.688,-0.450592,-0.115173,9.913666
Idle,17/9/2020 16:02:22.688,-0.454178,-0.112778,9.905289
Idle,17/9/2020 16:02:22.688,-0.458969,-0.111572,9.913666
Idle,17/9/2020 16:02:22.688,-0.456573,-0.111572,9.906494
Idle,17/9/2020 16:02:22.688,-0.454178,-0.113968,9.913666
Idle,17/9/2020 16:02:22.688,-0.442215,-0.109192,9.900497
Idle,17/9/2020 16:02:22.688,-0.460175,-0.110382,9.90889
Idle,17/9/2020 16:02:22.688,-0.456573,-0.112778,9.902893
Idle,17/9/2020 16:02:22.688,-0.464951,-0.107986,9.922043
Idle,17/9/2020 16:02:22.688,-0.449387,-0.106781,9.91127
Idle,17/9/2020 16:02:22.688,-0.457779,-0.110382,9.904099
Idle,17/9/2020 16:02:22.688,-0.450592,-0.12236,9.894516
Idle,17/9/2020 16:02:22.688,-0.451782,-0.109177,9.904083
Idle,17/9/2020 16:02:22.688,-0.456573,-0.102005,9.904099
Idle,17/9/2020 16:02:22.688,-0.454178,-0.117569,9.902893
Idle,17/9/2020 16:02:22.688,-0.460175,-0.121155,9.913666
Idle,17/9/2020 16:02:22.688,-0.46257,-0.111588,9.899307
Idle,17/9/2020 16:02:22.688,-0.452988,-0.117569,9.91008
Idle,17/9/2020 16:02:22.688,-0.457779,-0.116364,9.905289
Idle,17/9/2020 16:02:22.688,-0.458969,-0.104401,9.91127
Idle,17/9/2020 16:02:22.688,-0.452988,-0.112778,9.901703
Idle,17/9/2020 16:02:22.688,-0.451782,-0.121155,9.91127
Idle,17/9/2020 16:02:22.688,-0.450592,-0.119965,9.908875
Idle,17/9/2020 16:02:22.688,-0.454178,-0.110382,9.91127
Idle,17/9/2020 16:02:22.688,-0.454178,-0.111572,9.91127
Idle,17/9/2020 16:02:22.688,-0.452988,-0.112778,9.91127
Idle,17/9/2020 16:02:22.688,-0.454178,-0.12236,9.905289
Idle,17/9/2020 16:02:22.688,-0.461365,-0.118759,9.906494
Idle,17/9/2020 16:02:22.688,-0.452988,-0.117569,9.900497
