activity,timestamp,x-axis,y-axis,z-axis
Busy,17/9/2020 16:14:02.7,-0.443405,-0.067291,9.898102
Pan,17/9/2020 16:09:51.629,-0.45417799999999997,-0.06489600000000001,9.91008
Busy,17/9/2020 16:13:26.709,-0.448196,-0.08046,9.870575
Pan,17/9/2020 16:10:27.576,-0.436234,-0.0625,9.895706
Pan,17/9/2020 16:09:40.867,-0.437424,-0.05651900000000001,9.91008
Rotate,17/9/2020 16:05:30.059,-0.448196,-0.08046,9.900497
Pan,17/9/2020 16:09:26.498,-0.45417799999999997,-0.06369,9.898102
Pan,17/9/2020 16:10:02.405,-0.448196,-0.066086,9.900497
Rotate,17/9/2020 16:05:44.452,-0.452988,-0.076874,9.906494
Idle,17/9/2020 16:02:51.682,-0.449387,-0.111588,9.896912
Idle,17/9/2020 16:04:47.153,-0.43981899999999996,-0.074478,9.91008
Idle,17/9/2020 16:03:09.768,-0.445801,-0.090027,9.906494
Rotate,17/9/2020 16:05:26.464,-0.45417799999999997,-0.070877,9.904099
Pan,17/9/2020 16:09:58.817,-0.44699099999999997,-0.067291,9.902892999999999
Pan,17/9/2020 16:08:25.357,-0.44221499999999997,-0.075668,9.907684
Rotate,17/9/2020 16:07:46.92,-0.450592,-0.057709,9.904083
Idle,17/9/2020 16:02:55.309,-0.45896899999999996,-0.106796,9.907684
Rotate,17/9/2020 16:06:42.114,-0.44459499999999996,-0.08046,9.918457
Pan,17/9/2020 16:10:05.996,-0.448196,-0.073273,9.900497
Busy,17/9/2020 16:12:47.184,-0.43981899999999996,-0.069687,9.91008
Pan,17/9/2020 16:09:12.063,-0.43621800000000005,-0.073273,9.91008
Idle,17/9/2020 16:03:20.582,-0.455383,-0.085236,9.906494
Idle,17/9/2020 16:04:57.915,-0.44101,-0.073273,9.896912
Idle,17/9/2020 16:03:27.829,-0.445801,-0.092422,9.901703
Rotate,17/9/2020 16:07:14.499,-0.444611,-0.069687,9.893311
Rotate,17/9/2020 16:07:54.097,-0.444611,-0.070877,9.908875
Rotate,17/9/2020 16:07:21.714,-0.452988,-0.066086,9.912476
Rotate,17/9/2020 16:07:25.305,-0.45657299999999995,-0.076874,9.899307
Busy,17/9/2020 16:12:32.789,-0.448196,-0.057709,9.916061000000001
Busy,17/9/2020 16:12:36.414,-0.449387,-0.0625,9.884949
Idle,17/9/2020 16:02:37.181,-0.445801,-0.105591,9.900497
Idle,17/9/2020 16:04:36.349,-0.449402,-0.08046,9.890915
Rotate,17/9/2020 16:05:44.453,-0.447006,-0.07925399999999999,9.920853
Busy,17/9/2020 16:12:54.366,-0.43502799999999997,-0.055313,9.913666000000001
Busy,17/9/2020 16:11:56.848,-0.437424,-0.058899,9.884933
Rotate,17/9/2020 16:05:33.686,-0.45417799999999997,-0.07925399999999999,9.904099
